X1,X2,G
0.38836,-0.52847,1
-0.38804,0.49486,1
-1.089,-0.7501,0
2.8198,1.6045,0
0.99412,1.9125,0
0.22522,1.338,0
1.2137,0.045944,0
-0.19062,1.3495,1
2.1522,0.46402,0
1.162,-1.2137,1
-0.25209,-0.011183,1
1.4648,-0.76448,0
0.58304,1.4421,1
1.7968,0.15275,1
2.0671,0.16075,0
1.0452,1.3067,0
2.3186,0.18022,1
-0.63636,1.4425,1
-0.30014,0.58718,1
-0.51471,1.3643,1
1.0075,0.85135,0
1.8498,-1.1903,0
0.62888,0.8678,1
-0.98412,2.2491,1
0.20812,0.76797,0
-0.080637,0.56838,1
2.8967,-1.1893,0
3.0582,-0.42832,0
0.54442,0.18416,1
1.5554,-0.99889,0
0.032438,-0.09112,1
0.91524,1.4041,1
-0.7015,1.1624,1
3.0072,-0.27608,0
1.1152,-0.44296,0
0.57271,0.46468,0
0.89259,0.034703,1
0.51135,-0.85551,0
1.4486,0.71264,1
2.5059,0.529,0
0.19325,0.36114,1
0.75443,-0.058254,0
0.98975,-2.8844,0
1.194,-1.1027,1
1.7998,-0.44433,0
1.0795,0.96673,1
1.5418,1.6711,1
-1.1146,-0.64233,1
1.6918,0.34997,0
1.7981,0.96764,0
1.5881,0.80606,1
3.2191,-0.30529,0
0.79841,0.16909,1
-0.79619,-0.17126,1
-0.041968,1.064,1
0.99369,-0.76295,0
0.83741,2.2601,1
0.93332,0.42594,0
2.2392,-0.52282,0
1.5969,-0.77733,0
-0.22444,0.076654,1
-0.38107,-0.28993,0
2.4551,0.65286,0
-0.73763,0.51031,1
-1.1221,-0.3466,1
0.082673,1.2126,0
-0.26193,0.28246,1
0.51257,0.089361,1
0.068285,-0.63946,1
0.69724,-0.77876,1
2.4561,-0.27725,1
1.2292,0.25808,0
0.027871,-0.46772,1
1.8361,2.3032,0
3.4059,1.2816,0
1.409,-1.4758,0
0.30557,0.81074,1
2.0586,-0.52704,1
1.3109,0.70116,0
-1.2636,0.77558,1
0.74266,0.58752,1
-0.50157,0.71303,1
1.0895,-0.060486,1
0.96206,1.1897,1
-0.022601,1.0311,0
-0.080441,-0.098273,1
1.8852,1.1457,0
-0.07213,-0.78387,1
1.1735,-1.2904,0
1.0754,1.422,0
2.0319,-0.49944,0
2.9071,-0.57742,0
0.13289,1.6328,1
-0.38706,1.151,1
0.80017,-0.10811,1
2.0004,0.38463,1
2.4905,-1.6602,1
0.17786,-0.59775,0
0.87122,-0.2917,1
