X1,X2,X3,Y
0.61912,-1.2783,0.84676,0.64471
0.8014,-0.085602,1.7494,2.124
1.1362,-1.4228,-0.60159,0.65872
0.5925,0.42167,1.0727,2.1381
-0.38461,-0.49051,0.26965,-0.82493
0.23605,-1.499,0.14453,-1.4495
0.40352,0.82189,-0.69711,2.3113
-0.82051,0.20579,0.82656,0.17438
-1.3534,0.17464,-0.93242,0.21794
-0.61153,-0.93211,-0.43237,-1.1396
-0.44676,0.43461,0.96971,1.0282
0.425,-0.81213,0.49864,0.03575
-0.77702,0.60626,-1.5278,1.6166
0.59021,-0.9592,-0.18415,-0.8496
-0.69151,-1.2292,-1.1893,-0.26206
0.20955,0.22626,1.2558,1.7416
0.57847,0.16572,-0.97006,1.7727
0.51264,-0.73505,-0.30485,-0.017274
0.69,0.02641,-0.1862,0.085642
0.24417,1.4265,-0.99382,4.566
0.67974,0.20231,-0.87194,1.7663
-0.0010907,0.71923,0.36278,1.0604
-1.1819,-0.5839,-1.6686,0.13036
0.18632,0.77946,-0.37214,1.514
-1.4741,-1.0391,0.35999,-1.6365
0.32847,-0.49567,-1.6115,1.5264
0.55496,1.373,-0.62317,3.8485
-0.12697,-0.89036,-0.33879,-0.81505
-0.37778,-0.60413,0.13998,-1.8149
0.22579,-0.56392,0.6883,0.39156
1.7128,0.35276,-1.738,2.9002
1.4336,0.10309,-1.2693,2.4114
-1.3805,-0.39594,1.6163,0.26389
-1.1003,-0.54458,-1.5497,0.11531
2.076,-0.62659,-0.19252,-0.17907
0.58566,-1.4145,-0.95777,0.84288
0.03318,0.91148,0.78189,2.2775
-0.71837,1.7286,-0.57422,4.3602
0.023559,-0.35975,1.4302,1.0904
-1.0978,-0.027981,0.1677,-1.6882
-0.38206,-0.58332,-0.36144,-0.87896
-0.058367,1.6342,0.63536,4.5474
-1.8298,1.5268,1.2875,3.9968
1.1433,1,-0.26271,2.3447
0.61566,-1.2362,-1.2799,1.1023
-0.28152,0.92375,1.0416,2.2134
2.1159,-0.31453,-0.8691,1.4476
1.0515,1.3742,0.78477,4.4495
0.51591,-1.275,-0.56518,0.21186
-0.33561,-0.019842,0.20101,-1.0601
1.2864,-0.88027,0.14222,-0.43838
-0.95106,0.25519,-0.47015,-0.10382
1.5421,-1.6408,-1.7433,1.8323
0.022009,-0.59946,-0.80814,0.4004
-1.3577,0.80255,0.42005,0.65383
-0.49246,0.23455,-0.1591,-1.2955
-0.26167,0.035981,1.4206,0.98496
-1.9855,-0.86599,0.97121,-0.38611
0.37486,0.41367,0.73968,1.7772
-0.27722,1.5279,-0.51317,3.6314
0.31985,0.29488,-0.92153,1.7149
0.88929,0.43621,1.0835,2.2979
0.11987,-0.57648,-0.89045,0.56716
-0.17833,-0.68753,-0.24945,-0.99763
-0.96293,1.018,-0.30616,0.96794
-0.30625,0.95323,0.20828,0.81271
0.49364,-0.95637,0.58898,0.27019
-0.092929,-0.89154,0.28357,-1.0349
2.8791,-0.53291,0.20566,-0.83818
-0.48703,-0.45624,0.48005,-0.61174
1.7438,-0.57389,-0.93496,1.368
-0.0017393,-0.18162,0.3088,-0.52356
-1.4608,1.3276,0.43758,1.9622
-0.77843,-0.79802,0.39115,-1.3249
0.96811,0.56146,-0.86031,2.4811
-0.53185,-0.94002,0.7476,-0.60228
-0.74618,0.5306,0.25507,-0.4796
0.62439,0.46241,-0.84824,2.0658
-0.89586,-0.52907,-0.37232,-1.1396
-1.457,-0.39182,-0.4937,-1.1367
-0.31153,-0.11228,1.2683,0.88657
3.2826,0.56532,1.3247,2.0036
-2.3877,-0.9974,-0.56595,-1.0064
-0.32907,-1.4211,2.0125,0.45048
-1.6088,-0.60284,-0.16635,-2.0377
