x1,x2,g
3.546699458,0.253014139,1
0.905493041,3.296839729,1
-1.029967468,0.785182471,0
0.518967968,1.228639424,0
-3.554233202,0.907525553,1
0.756885993,0.66838187,0
-4.079929404,1.064106136,1
0.976390421,-1.791819892,0
-0.931652646,0.756860314,0
4.429850531,1.414404431,1
0.836265385,0.780791043,0
-1.974032075,-2.84378247,0
-0.031473149,-0.657865186,0
-0.09867485,1.437887815,0
-1.806865211,3.641002583,1
-1.265639466,0.246779066,0
0.833914831,2.798119864,1
-0.677452867,2.211408043,1
-2.360913215,0.141777528,0
2.681136387,0.05511424,0
4.661033583,-0.4721634,1
-0.054677752,2.539564245,1
2.187624319,1.7261925,1
-2.919916857,2.082975287,1
0.116373833,2.092239928,1
-0.271540666,0.78038978,0
1.660672209,-0.400762693,0
0.645178571,1.122107135,1
-0.51070439,3.753906396,1
0.681550462,3.291698214,1
-0.321597465,-1.265052966,0
0.52799477,-0.144099065,0
-0.961791289,4.531311334,1
2.356626827,1.570756903,1
0.140964772,0.387259347,0
-0.5138247,3.628233657,1
-2.011400539,0.455959323,0
0.833613933,1.47280718,0
1.202352664,3.231353562,1
1.875944232,1.621164021,1
3.235149128,1.833722725,1
-0.429388901,2.117429724,1
0.289485519,2.763228702,1
-3.111303089,3.801239247,1
2.010888936,0.103314164,0
-2.566745841,1.660315347,1
0.131853235,3.179954922,1
-0.627431679,-2.069087416,0
-0.061923588,0.625578132,0
1.00221458,0.052426951,0
2.0938941,2.353984408,1
3.415176189,1.832398035,1
-0.738151534,2.878318497,1
0.466891583,4.090281886,1
1.301768365,2.773371505,1
-0.933919079,3.691358294,1
0.10930575,-0.86109611,0
0.588561399,-0.88985009,0
0.947018715,0.691193327,0
0.148445083,-1.895820665,0
2.285000113,1.71997224,1
0.366869922,3.753985322,1
-0.698569287,0.783154753,0
1.079361596,2.274006322,1
-0.779397542,3.555140007,1
-0.95296688,1.862221672,0
-0.464088074,3.887533329,1
0.180428617,0.630987987,0
-1.257673761,3.228402177,1
-3.050843894,0.997162196,1
3.202568482,0.77304049,1
0.408223904,0.811644748,0
-1.102184461,-1.97969906,0
-1.091221427,0.782719834,0
3.431550265,0.442337677,1
0.651095817,3.257588936,1
3.46162463,0.448216763,1
-4.076742201,1.592673703,1
0.293229433,0.067964655,0
-0.461586982,-1.647352667,0
1.633027748,1.860204998,1
0.071564592,0.607124234,0
0.160580118,-1.412344709,0
0.786812602,1.467221776,0
0.826011116,4.452183465,1
1.28791971,-0.969484057,0
-0.623830529,-0.6652504,0
0.182105631,-0.376588734,0
2.922740978,-1.446447684,0
-0.419223453,3.441755161,1
0.703269171,1.057129965,0
-2.12637473,4.031199935,1
-1.954177326,0.557069758,0
-2.537521021,0.580796097,1
2.071339252,2.028502883,1
-0.424387383,3.010509204,1
-0.163509526,5.815728157,1
4.969351419,1.793739888,1
-1.759136519,0.007718105,0
-2.664936443,1.731801133,1
0.469718288,3.560806083,1
1.351284024,1.783138557,0
-0.10812179,0.396198821,0
0.726124072,0.315646354,0
0.715333568,1.048862955,0
1.893806229,-0.382015159,0
0.399694915,1.162081676,0
-3.043670809,-0.204554445,1
-0.118789444,3.691377955,1
0.765781957,2.235812355,1
-1.684162484,-0.192712168,0
1.191254912,1.608637444,1
-0.97407435,-1.319131072,0
1.200380894,4.389377487,1
-0.269434417,1.927995743,0
-3.090183598,2.65682222,1
0.380395476,-0.889044636,0
0.410230575,-1.358441593,0
0.754242299,-1.611358481,0
-1.365488899,1.87408742,1
-0.38217648,-1.141978287,0
0.747513522,-0.564006132,0
1.48213162,1.036080097,0
3.943503036,1.378846818,1
-1.54152221,0.637474096,0
-2.681667087,1.19718785,1
-1.33936596,-0.755114378,0
1.051132606,-1.665030223,0
2.435059313,2.400308953,1
0.580342893,-0.997721087,0
-2.518390739,4.642220641,1
-1.072568488,1.073265931,0
-1.64500938,1.272995881,0
2.158672626,2.70760726,1
1.609608964,3.151626418,1
-1.129743574,0.539451535,0
-1.074218573,2.407467477,1
2.932959166,2.294701693,1
-2.799456486,1.248908245,1
-4.465391048,0.424172916,1
-2.002532511,-2.265033661,0
0.807316464,4.398305147,1
0.565620938,1.780637084,0
-3.592249392,0.896775359,1
-0.1349378,3.718739263,1
-1.142003544,0.365294141,1
-0.732425955,-0.999494235,0
-1.116820536,4.733625678,1
-0.441437494,0.390130277,0
-2.423306298,2.737632352,1
-0.045398459,0.513948155,0
-0.275264483,-0.772302118,0
1.197978289,1.649582292,0
-0.186519584,1.397857291,1
-2.845736008,1.971978476,1
1.763570206,-0.911805746,0
