x1,x2,y
-1.633696846,-0.668242273,-1
-1.267058649,1.201882326,-1
-0.790732092,-0.108292207,1
0.42220238,-0.959647344,1
0.066507183,0.211573545,1
0.888127157,-0.060595173,-1
0.077729678,0.089776988,1
-0.632315302,2.163642826,-1
0.768852556,0.09610267,1
0.770896283,-1.618767005,-1
-0.082202185,-0.24459621,1
0.800208141,0.147973169,1
-1.882453432,-0.479463451,-1
-2.877115231,1.21645936,-1
-1.375033197,-1.318744859,-1
-0.761053623,0.967994773,-1
-0.106995164,0.389165575,1
0.224709699,-0.548498176,1
0.36266619,-0.648003844,1
2.047932681,0.839310537,-1
-0.621567565,-0.437614487,1
0.614733725,-1.601732566,-1
0.699274832,1.264082158,-1
-1.572209621,0.257219843,-1
-1.012300264,1.045540492,-1
0.37030786,-0.076893502,1
0.727044524,0.409225888,1
1.404078824,0.298837417,-1
-0.206203065,-0.192627413,1
0.097551084,0.962629071,1
0.445325724,0.797001375,1
-1.092564747,0.636973305,-1
0.500667079,-0.398523574,1
0.351002813,-0.39255291,1
-0.791672053,0.403336265,1
1.806640846,0.929229464,-1
0.162270964,0.4513991,1
0.338319996,1.676827181,-1
-1.020807682,0.163025734,-1
-1.064852991,-0.351314061,1
0.50372649,1.027030483,-1
-1.12125073,0.331875915,-1
0.224277233,-1.867802187,-1
0.488477527,0.110120484,1
-1.943693002,-1.036471031,-1
0.501803519,0.029092011,1
1.331031717,2.420298661,-1
0.052261222,-0.74679049,1
1.78136565,-1.632490956,-1
0.872391064,0.443483706,1
-0.363984535,-0.146244909,1
-0.666655583,1.896418211,-1
0.535660931,0.087619304,1
0.37676159,0.098127973,1
-1.216518711,-0.036224128,-1
0.173025239,-0.061323953,1
-2.506003471,0.676802065,-1
0.588697994,1.124468919,1
0.656423965,-0.448954879,1
-1.759542533,-1.263191941,-1
-0.678932747,0.063620432,1
-2.128476269,-1.800900399,-1
-1.786193724,-0.720278555,-1
-0.558838822,-0.175120183,1
2.463600556,0.80537822,-1
1.522750017,-0.505464551,-1
2.217512412,2.029448087,-1
1.986658385,-0.68058873,-1
-0.425226788,0.041514887,1
0.741193731,0.932472779,-1
-1.250389743,-1.977402195,-1
0.906468082,-0.228455103,1
0.778817543,0.018355008,1
1.979706145,-0.399712861,-1
-0.730387373,-0.787690279,1
0.864533807,-0.02850207,1
1.22299853,0.081648597,-1
2.2151154,1.387137988,-1
1.173484086,-1.796886808,-1
-0.419350948,-2.436553841,-1
-0.488946256,-0.719362428,1
-0.017274756,0.397334986,1
-0.908498099,1.022601849,-1
0.24594184,0.101043442,1
-0.20797899,-1.102774656,1
0.087493324,-1.117239193,1
1.974234444,0.997426717,-1
-0.742436512,0.110835259,1
0.210264497,0.055555639,1
-0.402732646,-1.127306733,1
-1.40969548,-2.477278333,-1
3.263703876,-0.116318537,-1
0.87928861,0.291713377,-1
0.399322441,-0.224522674,1
0.07251826,1.041083047,1
0.56186031,-0.113828277,1
1.829543657,1.770408218,-1
-1.479384461,-1.796103726,-1
0.274090517,-0.05667669,1
-0.239254886,0.424775621,1
0.879049375,1.074995939,-1
2.637647022,-1.896418907,-1
-0.446915093,0.201257539,1
-0.123341041,0.194382383,1
-0.934772713,0.925859513,-1
-2.027294257,0.643370671,-1
-1.49216368,-2.302052987,-1
-0.053530119,0.217383983,1
1.811896734,0.595030292,-1
-2.093971558,-0.848290944,-1
0.352553511,0.914993169,-1
-1.028164097,0.764765128,-1
-0.295050742,-2.577975374,-1
1.022007883,2.265346665,-1
-0.105868156,0.464026903,1
0.333845812,-0.428791424,1
-0.980129767,-2.781859289,-1
-2.267768151,0.594136508,-1
2.876702036,1.339754639,-1
-0.946362688,2.876694073,-1
0.347315738,-1.843983424,-1
-0.272941258,0.240735039,1
0.139179878,1.368678366,-1
0.240564238,-0.244366991,1
-0.133837207,1.140200768,-1
-0.556855698,-2.384645568,-1
-1.254509023,-0.264979791,1
0.394440235,0.262908279,1
-1.284701579,1.366019883,-1
0.677795779,-0.524268381,-1
-0.613441057,0.685537697,1
-0.968810416,-0.036551845,1
-1.544081064,-0.433002063,-1
1.146205972,-0.869346937,-1
-1.652255544,1.860639331,-1
-0.052157469,0.290077488,1
1.163782493,-2.325543738,-1
0.046257858,0.001410833,1
2.448810241,-1.284730461,-1
1.333322101,-1.391052003,-1
0.6152457,-0.300175314,1
-1.09317024,-0.221887436,-1
1.489973865,-1.612235877,-1
1.4011168,-1.37192493,-1
-0.68007809,-2.587822096,-1
2.257074271,2.242514354,-1
0.180985845,-0.623459642,1
-3.034848756,-0.555064704,-1
0.804031657,0.092360088,1
-2.572864125,0.984470096,-1
-1.010725102,1.253535362,-1
-0.318020519,0.468721506,1
-0.654097335,-0.212222304,1
-0.672297792,1.113859779,1
0.332153797,-0.314266876,1
-0.23898633,0.345287761,1
-0.395412989,0.808414147,1
0.50984492,0.151715357,1
-2.046186361,-0.300997348,-1
-0.287361411,-1.406378406,-1
-0.108197937,-1.621306559,-1
-0.3698009,-0.230204325,1
1.615789772,2.263577583,-1
0.362286729,-0.219111388,1
-0.027918894,-0.955054904,1
1.040711838,1.980972356,-1
-2.060393927,-2.156924738,-1
0.253099112,-0.261305442,1
0.415292253,-0.181262841,1
-0.127632314,0.077725848,1
0.565071159,-0.052598494,1
-1.469155343,1.650797205,-1
0.782878957,0.013860916,1
-0.621590445,-0.843856142,-1
-0.366072324,1.089560895,1
-0.029322287,-0.168357423,1
-0.478031304,2.561184457,-1
0.001991132,1.048500619,-1
0.585176072,1.795316042,-1
-0.046925495,0.16770084,1
-0.333087403,0.152198743,1
-0.39925995,-0.243950276,1
-1.374082468,1.687583242,-1
0.167200978,0.897180256,1
-0.723878122,-2.723096226,-1
-0.029159827,-2.807459066,-1
0.301052072,-1.012351879,1
0.232872407,0.091901781,1
-0.143665951,-0.922165289,1
0.483059728,-0.661656701,1
0.239005305,-0.463672803,1
0.466856308,0.359188745,1
-0.589822501,0.262947294,1
-1.476632823,0.252824832,-1
-0.908910612,0.436076097,-1
-0.468366973,-0.179582314,1
-0.277799044,-1.07411757,1
0.327014261,-0.463766589,1
-0.640563492,0.095639051,1
0.200310933,0.709865657,1
