x1,x2,y
-1.206128526,2.494276215,1
-0.384548605,-0.799241942,-1
-3.629968428,0.711719338,1
0.072120281,2.822276538,1
2.200110263,-1.897204737,-1
0.621241512,-1.872451034,-1
-1.659074773,1.865150178,1
0.818680032,0.146196445,-1
0.63023132,-2.036422839,-1
-1.064358669,0.670272803,1
-1.653548813,0.954827893,1
2.773180318,-2.460842808,-1
1.440834278,-0.25625737,-1
-2.042555518,-0.458209717,1
-0.621836659,1.870233114,1
-0.268249823,1.754138514,1
-0.714778686,1.530502433,1
0.677415958,-1.079060431,-1
-3.384300987,0.76210516,1
2.133611513,-0.038859261,-1
-0.838183237,0.266650055,1
-0.916516521,2.005186962,1
-0.141996436,1.612673209,1
-0.907697242,0.787083694,1
-1.531067568,1.440339177,1
1.041159837,-1.641745597,-1
2.271702448,-1.391610572,-1
3.571458564,0.104749646,-1
1.287371071,-1.179462461,-1
2.030014506,0.150379583,-1
0.099321179,-0.931719497,-1
0.064720968,-0.04417137,-1
-0.789689774,1.123229954,1
2.622408819,-2.095104051,-1
2.814100698,-1.208491763,-1
-2.044733712,0.589681417,1
1.134667449,-1.561851382,-1
1.49484034,-1.68819745,-1
-0.487796242,2.298269813,1
1.969435283,-0.280585227,-1
0.089610826,-3.028964602,-1
-2.32331426,0.828935969,1
-0.13281658,3.565293515,1
0.472313144,2.189047414,1
1.176512725,-0.752881501,-1
-1.119607854,1.539742842,1
-2.484109017,1.979463254,1
1.417591805,-0.977699349,-1
-0.938276002,2.454055681,1
-0.741778734,1.478421897,1
0.848421663,-2.725347585,-1
-1.247270484,1.244107312,1
0.692735851,1.283130313,1
1.603892315,-1.009591549,-1
-0.810499229,-0.924328467,1
2.847625193,-0.568351747,-1
-1.227150837,1.345490967,1
-1.357153194,2.006514914,1
1.738124311,-0.830922999,-1
0.551789615,-2.16205171,-1
-0.571095315,-0.495039706,-1
-1.447457952,2.17770374,1
1.510850671,-0.848163114,-1
-1.861950396,-0.815935564,1
2.179507085,-2.551968203,-1
2.785621622,-0.843621917,-1
-1.888838339,0.841730309,1
0.005763049,2.548743049,1
-0.709226951,1.026053661,1
-0.777567505,1.81110374,1
0.306289841,-2.087796441,-1
-2.252678031,0.278052208,1
1.531433375,-0.389988771,-1
0.020276411,0.099137467,-1
0.432465545,-1.613284533,-1
1.197968476,-0.758092739,-1
0.579161551,1.41056507,1
0.081089704,-1.318618056,-1
-2.088374702,-0.44616184,1
0.735188963,1.972782796,1
-1.257884398,1.292877214,1
1.937782095,-0.8417572,-1
2.539889066,-1.040726731,-1
0.060354518,2.759695004,1
-1.820315772,0.25891689,1
1.103959618,0.460952938,-1
-2.390656649,2.533586648,1
-1.204609849,2.635277938,1
1.904982762,-1.428729304,-1
0.888149017,-2.609589082,-1
1.429059964,-0.664064085,-1
-2.267638265,0.537206085,1
1.577406739,-0.813184767,-1
-1.39098942,1.205849125,1
-0.761935639,2.373203514,1
0.048549613,-1.753059425,-1
-0.220532233,-1.868119981,-1
1.106572973,2.205625982,1
0.415493644,-0.719039245,-1
-0.758456241,2.639060745,1
-0.776242957,-3.004938443,-1
1.887198639,-1.32290302,-1
-1.586950877,1.27659715,1
1.461916564,-1.459988767,-1
0.816988538,-1.867858183,-1
1.065181482,1.102626799,-1
1.444883858,-1.139655007,-1
2.277467846,0.364017448,-1
-0.014138288,2.814150138,1
2.026630004,-0.686698452,-1
-1.53859573,1.09331316,1
0.469031698,-2.173454343,-1
2.323422478,-0.415555147,-1
1.240143401,-0.525018116,-1
-0.373444641,3.687307585,1
-3.082249697,1.63989715,1
0.610850853,-0.846211473,-1
-2.374444682,1.391365895,1
2.088577326,-0.962215163,-1
-2.233819342,2.26209562,1
0.880240125,-0.19139853,-1
-2.14690865,0.922875823,1
0.505218809,-0.234600344,-1
1.396849227,-1.651634992,-1
0.230391597,-1.077415637,-1
-0.341805987,1.241092093,1
0.666280255,1.502825057,1
-1.584628185,0.476260445,1
-1.876424238,0.018213056,1
2.213283314,0.385362309,-1
-3.20481319,1.454931348,1
-2.900952705,0.314946867,1
-0.386491103,-2.03336443,-1
-0.772800707,2.395992464,1
1.76443243,-0.568581935,-1
1.353609373,-2.041780708,-1
2.83467919,-1.20282215,-1
1.745407199,-0.840213929,-1
-2.046927712,0.576508985,1
1.531622862,-0.330171934,-1
0.537227444,-3.58349113,-1
1.164750231,1.929569851,1
-0.178153175,1.208678819,1
1.621406625,-1.354864452,-1
-1.099189343,0.914161931,1
-0.350382697,1.361874731,1
-0.332224406,0.970569119,1
-0.078693085,-2.069678952,-1
1.056833383,-0.567479623,-1
-1.226926199,1.989409758,1
-1.755118903,0.42827208,1
-1.563203666,1.448232476,1
0.410142196,-1.275077476,-1
-2.194183589,1.4499069,1
0.872264028,-0.395540152,-1
1.10718974,2.292664635,1
3.059464823,-0.338967203,-1
-2.015076994,-0.600715434,1
